State 1010: {0: 0.04944420963916381, 1: 0.48300677654630486, 2: 0.5306334770325649, 3: 0.036726992776314436}
State 1110: {0: 0.05182663994799394, 1: 0.08672063029213783, 2: 1.0820215798067545, 3: 0.02681004085925256}
State 1210: {0: 0.034851518679842375, 1: 0.07686172645423173, 2: 0.031438794384990976, 3: 0.031504240912954444}
State 11: {0: 0.052114470950901964, 1: 0.017681985953134794, 2: 0.03277758559224341, 3: 0.07859059496821885}
State 111: {0: 3.2255503977865394, 1: 6.731565398620879, 2: 1.8771148893057445, 3: 2.780321279908393}
State 211: {0: 9.946164975386875, 1: 8.427669448516406, 2: 12.990047466815543, 3: 4.2137696466378864}
State 311: {0: 5.096638265350483, 1: 4.236620725422926, 2: 2.381925494599572, 3: 11.575214370584957}
State 411: {0: 6.98376480955856, 1: 10.805934861191078, 2: 6.209140532441039, 3: 8.037311428045022}
State 511: {0: 9.43428005297408, 1: 5.441737645255081, 2: 6.399915500409234, 3: 10.819613588256683}
State 611: {0: 1.861776692453208, 1: 1.9683294605327406, 2: 1.4649503164873858, 3: 7.027278739225625}
State 711: {0: 0.722729058713582, 1: 0.03606525469420413, 2: 2.4615760413976613, 3: 3.2270536985271625}
State 811: {0: 0.5449957398403293, 1: 2.84650189907909, 2: 1.2612400800869765, 3: 0.055197369941090695}
State 911: {0: 4.344825677702199, 1: 1.5361067090415286, 2: 1.1008391094340968, 3: 1.3551648141711863}
State 1011: {0: 1.1148446704490196, 1: 0.0342272704905977, 2: 0.5696897430556078, 3: 1.223726900832978}
State 1111: {0: 0.001270840459294831, 1: 0.08129117815792833, 2: 0.09897435017513723, 3: 0.6128656478553391}
State 1211: {0: 0.02059058952462386, 1: 0.08899719924322835, 2: 0.02472118483266097, 3: 0.05156882695828692}
State 12: {0: 0.041391869296558186, 1: 0.09928015278117745, 2: 0.05430191425795053, 3: 0.08508468991058293}
State 112: {0: 2.7123492332343035, 1: 7.301474822768663, 2: 2.3253011653835842, 3: 3.604010771665446}
State 212: {0: 4.336496351634506, 1: 4.723439141585323, 2: 9.590001848467981, 3: 4.81671765574327}
State 312: {0: 2.969280438159151, 1: 2.8702978248442372, 2: 6.483027394800083, 3: 3.2370593174018953}
State 412: {0: 0.09286835933700266, 1: 8.297380497193426, 2: 2.940609074833379, 3: 2.5119181704569185}
State 512: {0: 2.9478144619187328, 1: 2.121757086845309, 2: 11.47287067560895, 3: 5.35278371926626}
State 612: {0: 0.7471823957596353, 1: 2.1131289425537263, 2: 1.0791564037563814, 3: 0.6542230011802789}
State 712: {0: 1.2673652713451045, 1: 1.8754188100337976, 2: 0.6914174657610898, 3: 0.03854954321357473}
State 812: {0: 1.1930554743936521, 1: 3.763743871118408, 2: 1.1678812824591787, 3: 0.02110547793591229}
State 912: {0: 2.2745153104763394, 1: 2.0727220422803203, 2: 4.080781084402785, 3: 3.403241782754558}
State 1012: {0: 1.0844911243628397, 1: 2.226306789188711, 2: 0.6295694732726604, 3: 2.002281478401065}
State 1112: {0: 1.024260699764068, 1: 0.08337522305717177, 2: 0.4860596269972879, 3: 1.756387171685919}
State 1212: {0: 0.06880371876738312, 1: 0.023416685353750934, 2: 0.08493808265019354, 3: 0.02147161649184942}
State 13: {0: 0.06754696091311742, 1: 0.009103259750415272, 2: 0.02761381459982172, 3: 0.06604137033909545}
State 113: {0: 1.0396517940256826, 1: 1.9768102776298504, 2: 3.342751722855139, 3: 6.114508173039044}
State 213: {0: 1.9743006012853108, 1: 1.9482951517595732, 2: 2.153742795807725, 3: 3.8366063895917377}
State 313: {0: 3.333658465559955, 1: 1.5950352764083244, 2: 2.0260583260095855, 3: 2.4574959548155864}
State 413: {0: 0.03896138131198432, 1: 1.4476385518699533, 2: 0.9523100591340783, 3: 2.236180098397283}
State 513: {0: 0.6412025152504365, 1: 0.060174013020250244, 2: 5.495854829114785, 3: 1.309375238467088}
State 613: {0: 2.3048301522826473, 1: 1.138628227971731, 2: 0.029583799373043576, 3: 0.027520845447763332}
State 713: {0: 2.085787241223598, 1: 0.07224188267223546, 2: 0.6548500336442058, 3: 0.09987715735309423}
State 813: {0: 0.5366261238574397, 1: 1.775854499278212, 2: 0.8584683734226314, 3: 0.010345850056547857}
State 913: {0: 0.5819205958695383, 1: 0.027265783713677452, 2: 2.771737301287038, 3: 1.1529649444925862}
State 1013: {0: 0.5184787013433746, 1: 1.4956729664704, 2: 1.2461926005493418, 3: 0.09915475156812718}
State 1113: {0: 0.026638489983689687, 1: 0.034422891917742504, 2: 1.0485472237880769, 3: 1.5521833455858425}
State 1213: {0: 0.05030004673454758, 1: 0.04222917565884619, 2: 0.045767502924429285, 3: 0.07605454796831534}
State 14: {0: 0.024353964492693225, 1: 0.08942287590453092, 2: 0.01512540844306176, 3: 0.055909848308775614}
State 114: {0: 1.730493043474099, 1: 0.06958367555605839, 2: 0.04505997335565231, 3: 0.6249211343130529}
State 214: {0: 0.6988163363904288, 1: 2.2830927840555186, 2: 0.5060800780971692, 3: 0.04582082306959295}
State 314: {0: 2.4253926150974516, 1: 2.4174162786663294, 2: 2.7819597311472117, 3: 0.605996520499985}
State 414: {0: 0.6329425062884437, 1: 1.5759522247092574, 2: 1.3574733952156715, 3: 1.9367282318139267}
State 514: {0: 1.0100878184310818, 1: 0.7221030878957874, 2: 1.7215702607526868, 3: 0.02491465653563271}
State 614: {0: 1.1022431316325108, 1: 0.7106787061239663, 2: 2.508041317020438, 3: 0.6237005212944642}
State 714: {0: 1.0984426599861445, 1: 1.1100831484662437, 2: 0.5793530422510976, 3: 1.694509211679248}
State 814: {0: 0.04101322066043304, 1: 0.4986062318560319, 2: 0.694566668668435, 3: 1.0856137184473118}
State 914: {0: 0.5236041572237551, 1: 0.017433615594536402, 2: 0.6878814432635567, 3: 0.03264618997653795}
State 1014: {0: 0.01031069980337347, 1: 0.036207609498385064, 2: 0.6150133322371698, 3: 0.05910306187519493}
State 1114: {0: 0.0776194305198988, 1: 0.015311784695969133, 2: 0.0030560356857491813, 3: 0.08588667786697561}
State 1214: {0: 0.07684633894754665, 1: 0.061981550829657096, 2: 0.02311981792820742, 3: 0.0027020033949992864}
State 15: {0: 0.009446341231085231, 1: 0.08276480999411195, 2: 0.06801019038621342, 3: 0.039149753688163924}
State 115: {0: 0.8822915750981167, 1: 0.0299772690439855, 2: 1.1019975630752903, 3: 0.0820639851210572}
State 215: {0: 1.588704907302653, 1: 2.692250571091198, 2: 0.5257913350707846, 3: 0.007366043874419171}
State 315: {0: 4.374733401760392, 1: 2.3738481527655644, 2: 0.6681820270899778, 3: 0.5119114603880718}
State 415: {0: 0.9787398034969268, 1: 1.048192703270498, 2: 2.1482096398098145, 3: 0.9346838158649822}
State 515: {0: 0.6080137513443924, 1: 0.5371691432590342, 2: 0.6120865762856489, 3: 0.5758355179860414}
State 615: {0: 1.44012020273615, 1: 0.007709518414014372, 2: 0.6376747215773665, 3: 0.014781704467356006}
State 715: {0: 0.07788737259967791, 1: 0.5127255262209192, 2: 0.6582770203337556, 3: 0.020000635964900218}
State 815: {0: 0.05993171130477522, 1: 0.02333439667631434, 2: 0.6991483415965672, 3: 0.017529649329573228}
State 915: {0: 0.04472946594584947, 1: 0.00694563339655585, 2: 0.5361486953554566, 3: 0.008907571242446422}
State 1015: {0: 0.06647568536656971, 1: 0.02125707343433686, 2: 0.05639084022112872, 3: 0.03877361978509863}
State 1115: {0: 0.08393104656505498, 1: 0.047537368526822256, 2: 0.023058097484133313, 3: 0.014788963418300617}
State 1215: {0: 0.0062367740114979255, 1: 0.008018140645993344, 2: 0.09924121882471268, 3: 0.004097852300035965}
