State 1073: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1170: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1171: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1172: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1173: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 180: {0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}
State 181: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 182: {0: 0.096, 1: 3.0559629927305463, 2: 0.0, 3: 0.0}
State 183: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 280: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 281: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 282: {0: 2.597126826088518, 1: 3.4479557736150426, 2: 2.638442480605182, 3: 2.0926427547912696}
State 283: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 380: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 381: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 382: {0: 2.9172090051935666, 1: 2.6767635558098437, 2: 2.844680659336164, 3: 2.6728009843379326}
